F,Mod 1,Age Frm,Age Thru,Units,Purchase,_,Rental
E2215,,0,999,Years,5.887,,
E2216,,0,999,Years,0,,
E2217,,0,999,Years,0,,
E2218,,0,999,Years,26.6,,
E2219,,0,999,Years,22.449,,
E2220,,0,999,Years,16.548,,
E2221,,0,999,Years,17.444,,
E2222,,0,999,Years,12.978,,
E2224,,0,999,Years,54.859,,
E2225,,0,999,Years,11.452,,
E2226,,0,999,Years,24.43,,
E2227,,0,999,Years,1071.154,,
E2228,,0,999,Years,639.128,,
E2291,,0,999,Years,0,,
E2292,,0,999,Years,0,,
E2293,,0,999,Years,0,,
E2294,,0,999,Years,0,,
E2300,,0,999,Years,0,,
E2310,,0,999,Years,798.854,,
E2311,,0,999,Years,1495.249,,
E2312,,0,999,Years,1323.763,,132.377
E2312,KC,0,999,Years,1688.295,,168.833
E2313,,0,999,Years,210.203,,
E2321,,0,999,Years,1203.496,,
E2321,KC,0,999,Years,1273.363,,
E2323,,0,999,Years,44.128,,
E2324,,0,999,Years,30.373,,
E2325,,0,999,Years,919.401,,
E2326,,0,999,Years,218.169,,
E2327,,0,999,Years,1574.265,,
E2328,,0,999,Years,2646.812,,
E2329,,0,999,Years,1527.323,,
E2330,,0,999,Years,2275.42,,
E2340,,0,999,Years,214.501,,
E2341,,0,999,Years,316.043,,
E2342,,0,999,Years,305.844,,
E2343,,0,999,Years,513.772,,
E2351,,0,999,Years,476.91,,
E2359,,0,999,Years,119.749,,
E2361,,0,999,Years,105.987,,
E2363,,0,999,Years,137.753,,
E2366,,0,999,Years,166.376,,
E2368,,0,999,Years,319.137,,
E2369,,0,999,Years,277.97,,
E2370,,0,999,Years,598.094,,
E2371,,0,999,Years,117.117,,
E2373,,0,999,Years,825.944,,
E2373,KC,0,999,Years,747.481,,
E2374,,0,999,Years,364.546,,
E2375,,0,999,Years,584.731,,
E2376,,0,999,Years,881.692,,
E2377,,0,999,Years,331.562,,
E2378,,0,999,Years,358.232,,35.826
E2381,,0,999,Years,40.229,,
E2382,,0,999,Years,14.182,,
E2383,,0,999,Years,79.716,,
E2384,,0,999,Years,42.469,,
E2385,,0,999,Years,33.789,,
E2386,,0,999,Years,85.183,,
E2387,,0,999,Years,40.985,,
E2388,,0,999,Years,34.398,,
E2389,,0,999,Years,18.676,,
E2390,,0,999,Years,29.211,,
E2391,,0,999,Years,13.993,,
E2392,,0,999,Years,36.778,,
E2394,,0,999,Years,52.395,,
E2395,,0,999,Years,37.24,,
E2396,,0,999,Years,31.318,,
E2398,,0,999,Years,51.821,,
E2402,,0,999,Years,0,,879.368
E2500,,0,999,Years,240.94,,24.094
E2502,,0,999,Years,808.598,,80.857
E2504,,0,999,Years,1082.109,,108.213
E2506,,0,999,Years,1489.544,,148.953
E2508,,0,999,Years,2303.336,,230.335
E2510,,0,999,Years,4358.753,,435.876
E2511,,0,999,Years,285.803,,
E2512,,0,999,Years,0,,81.396
E2599,,0,999,Years,0,,
E2599,U1,0,999,Years,172.207,,
E2601,,0,999,Years,37.786,,
E2602,,0,999,Years,0,,
E2603,,0,999,Years,0,,
E2604,,0,999,Years,0,,
E2605,,0,999,Years,0,,
E2606,,0,999,Years,0,,
E2607,,0,999,Years,0,,
E2608,,0,999,Years,0,,
E2609,,0,999,Years,0,,
E2611,,0,999,Years,0,,
E2612,,0,999,Years,0,,
E2613,,0,999,Years,0,,
E2614,,0,999,Years,0,,
E2615,,0,999,Years,0,,
E2616,,0,999,Years,0,,
E2617,,0,999,Years,0,,
E2619,,0,999,Years,0,,
E2620,,0,999,Years,0,,
E2621,,0,999,Years,355.082,,
E2622,,0,999,Years,226.275,,
E2623,,0,999,Years,287.924,,
E2624,,0,999,Years,228.123,,
E2625,,0,999,Years,262.388,,
E2626,,0,20,Years,396.963,,
E2627,,0,20,Years,587.755,,
E2628,,0,20,Years,499.828,,
E2629,,0,20,Years,661.892,,
E2630,,0,20,Years,401.065,,
E2631,,0,20,Years,172.13,,
E2632,,0,20,Years,108.983,,
E2633,,0,20,Years,90.37,,
E8001,,0,999,Years,0,,
K0001,,0,999,Years,302.764,,30.275
K0002,,0,999,Years,465.094,,46.508
K0003,,0,999,Years,509.306,,48.965
K0004,,0,999,Years,759.626,,75.964
K0005,,0,999,Years,1401.183,,140.105
K0006,,0,999,Years,712.894,,71.288
K0007,,0,999,Years,1014.615,,101.458
K0008,,0,20,Years,0,,
K0009,,0,999,Years,0,,
K0010,,0,999,Years,2331.861,,233.184
K0011,,0,999,Years,3299.086,,329.91
K0012,,0,999,Years,2153.207,,215.32
K0013,,0,20,Years,0,,
K0015,,0,999,Years,137.711,,
K0017,,0,999,Years,33.873,,
K0018,,0,999,Years,19.033,,
K0019,,0,999,Years,10.556,,
K0020,,0,999,Years,31.934,,
K0037,,0,999,Years,31.899,,
K0038,,0,999,Years,16.492,,
K0039,,0,999,Years,36.015,,
K0040,,0,999,Years,45.157,,
K0041,,0,999,Years,34.916,,
K0042,,0,999,Years,23.275,,
K0043,,0,999,Years,13.335,,
K0044,,0,999,Years,11.487,,
K0045,,0,999,Years,38.43,,
K0046,,0,999,Years,13.377,,1.337
K0047,,0,999,Years,49.882,,4.991
K0050,,0,999,Years,22.106,,
K0051,,0,999,Years,35.385,,
K0052,,0,999,Years,58.128,,
K0053,,0,999,Years,66.402,,6.636
K0056,,0,999,Years,54.061,,
K0065,,0,999,Years,25.27,,2.527
K0069,,0,999,Years,56.805,,
K0070,,0,999,Years,104.111,,
K0071,,0,999,Years,62.104,,
K0072,,0,999,Years,37.387,,
K0073,,0,999,Years,19.019,,
K0077,,0,999,Years,33.453,,
K0098,,0,999,Years,17.99,,
K0105,,0,999,Years,56.518,,5.649
K0108,,0,999,Years,0,,
K0195,,0,999,Years,103.271,,10.325
K0455,,0,999,Years,0,,178.92
K0462,,0,999,Years,0,,34.132
K0554,,0,999,Years,0,,
K0554,KF,0,999,Years,0,,
K0606,,0,999,Years,0,,1621.767
K0669,,0,999,Years,51.485,,
K0730,,0,999,Years,1110.27,,
K0733,,0,999,Years,20.622,,
K0738,,0,999,Years,0,,
K0800,,0,999,Years,758.023,,75.81
K0801,,0,999,Years,1289.001,,128.898
K0802,,0,999,Years,1572.277,,157.227
K0813,,0,999,Years,1646.799,,164.682
K0814,,0,999,Years,2107.861,,210.784
K0815,,0,999,Years,2400.307,,240.037
K0816,,0,999,Years,2298.793,,229.873
K0820,,0,999,Years,1759.016,,175.889
K0821,,0,999,Years,2210.04,,221.004
K0822,,0,999,Years,2074.254,,207.424
K0823,,0,999,Years,2033.122,,203.315
K0824,,0,999,Years,2806.832,,280.686
K0825,,0,999,Years,2458.82,,245.882
K0826,,0,999,Years,4300.737,,430.073
K0827,,0,999,Years,3639.09,,363.909
K0828,,0,999,Years,4715.809,,471.576
K0829,,0,999,Years,4330.459,,433.048
K0835,,0,999,Years,2820.874,,282.086
K0836,,0,999,Years,2872.205,,287.224
K0837,,0,999,Years,3305.82,,330.582
K0838,,0,999,Years,2984.639,,298.459
K0839,,0,999,Years,4279.681,,427.973
K0840,,0,999,Years,6483.925,,648.389
K0841,,0,999,Years,2948.05,,294.805
K0842,,0,999,Years,2948.05,,294.805
K0843,,0,999,Years,3549.455,,354.942
K0848,,0,999,Years,3579.17,,357.917
K0849,,0,999,Years,3468.283,,346.829
K0850,,0,999,Years,4191.341,,419.132
K0851,,0,999,Years,3991.806,,399.182
K0852,,0,999,Years,4834.865,,483.49
K0853,,0,999,Years,4966.612,,496.664
K0854,,0,999,Years,6579.692,,657.972
K0855,,0,999,Years,6215.503,,621.551
K0856,,0,999,Years,3891.195,,389.123
K0857,,0,999,Years,3949.757,,394.975
K0858,,0,999,Years,4804.149,,480.417
K0859,,0,999,Years,4545.814,,454.58
K0860,,0,999,Years,6863.332,,686.336
K0861,,0,999,Years,3847.893,,384.79
K0862,,0,999,Years,4804.149,,480.417
K0863,,0,999,Years,6863.332,,686.336
K0864,,0,999,Years,8167.446,,816.739
K0868,,0,999,Years,0,,
K0869,,0,999,Years,0,,182.763
K0870,,0,999,Years,0,,
K0871,,0,999,Years,0,,
K0877,,0,999,Years,0,,193.109
K0878,,0,999,Years,0,,
K0879,,0,999,Years,0,,370.818
K0880,,0,999,Years,0,,577.444
K0884,,0,999,Years,0,,
K0885,,0,999,Years,4122.461,,412.251
K0886,,0,999,Years,0,,380.744
K0890,,0,999,Years,5923.19,,592.319
K0891,,0,999,Years,7687.295,,768.733
K0898,,0,999,Years,0,,
K0899,,0,999,Years,0,,
K0900,,0,999,Years,0,,
L8614,,1,999,Years,16366,,
L8625,,0,999,Years,129.255,,
L8681,,0,999,Years,648.704,,
L8682,,0,999,Years,3624.929,,
L8683,,0,999,Years,3190.761,,
L8684,,0,999,Years,469.448,,
L8685,,0,999,Years,7951.209,,
L8686,,0,999,Years,4819.829,,
L8686,TG,0,999,Years,10477.943,,
L8687,,0,999,Years,9830.324,,
L8688,,0,999,Years,6272.525,,
L8689,,0,999,Years,1048.838,,
L8690,,5,999,Years,3037.16,,
L8691,,5,999,Years,1178.555,,
L8692,,0,999,Years,2563.484,,
L8693,,5,999,Years,990.339,,
L8694,,5,999,Years,646.303,,
L8695,,0,999,Years,8.302,,
Q0477,,0,20,Years,265.475,,
Q0480,,0,20,Years,54549.229,,
Q0481,,0,20,Years,8800.89,,
Q0482,,0,20,Years,2756.6,,
Q0483,,0,20,Years,12096.567,,
Q0484,,0,20,Years,2349.109,,
Q0485,,0,20,Years,226.814,,
Q0486,,0,20,Years,188.762,,
Q0487,,0,20,Years,220.234,,
Q0488,,0,20,Years,8437.8,,
Q0489,,0,20,Years,9845.017,,
Q0490,,0,20,Years,453.628,,
