STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR,LOCATION
ME,4763,202601,RURAL
ME,4764,202601,RURAL
ME,4766,202601,RURAL
ME,4768,202601,RURAL
ME,4769,202601,RURAL
ME,4772,202601,RURAL
ME,4773,202601,RURAL
ME,4774,202601,RURAL
ME,4775,202601,RURAL
ME,4776,202601,RURAL
ME,4779,202601,RURAL
ME,4780,202601,RURAL
ME,4781,202601,RURAL
ME,4783,202601,RURAL
ME,4785,202601,RURAL
ME,4786,202601,RURAL
ME,4787,202601,RURAL
ME,4841,202601,RURAL
ME,4843,202601,RURAL
ME,4847,202601,RURAL
ME,4848,202601,RURAL
ME,4849,202601,RURAL
ME,4850,202601,RURAL
ME,4851,202601,RURAL
ME,4852,202601,RURAL
ME,4853,202601,RURAL
ME,4854,202601,RURAL
ME,4855,202601,RURAL
ME,4856,202601,RURAL
ME,4858,202601,RURAL
ME,4859,202601,RURAL
ME,4860,202601,RURAL
ME,4861,202601,RURAL
ME,4862,202601,RURAL
ME,4863,202601,RURAL
ME,4864,202601,RURAL
ME,4865,202601,RURAL
ME,4901,202601,RURAL
ME,4903,202601,RURAL
ME,4910,202601,RURAL
ME,4911,202601,RURAL
ME,4912,202601,RURAL
ME,4915,202601,RURAL
ME,4917,202601,RURAL
ME,4918,202601,RURAL
ME,4920,202601,RURAL
ME,4921,202601,RURAL
ME,4922,202601,RURAL
ME,4923,202601,RURAL
ME,4924,202601,RURAL
ME,4925,202601,RURAL
ME,4926,202601,RURAL
ME,4927,202601,RURAL
ME,4929,202601,RURAL
ME,4935,202601,RURAL
ME,4936,202601,RURAL
ME,4937,202601,RURAL
ME,4938,202601,RURAL
ME,4940,202601,RURAL
ME,4941,202601,RURAL
ME,4942,202601,RURAL
ME,4943,202601,RURAL
ME,4944,202601,RURAL
ME,4945,202601,RURAL
ME,4947,202601,RURAL
ME,4949,202601,RURAL
ME,4950,202601,RURAL
ME,4951,202601,RURAL
ME,4952,202601,RURAL
ME,4954,202601,RURAL
ME,4955,202601,RURAL
ME,4956,202601,RURAL
ME,4957,202601,RURAL
ME,4958,202601,RURAL
ME,4961,202601,RURAL
ME,4962,202601,RURAL
ME,4963,202601,RURAL
