HCPCS,Mod,From,Through,Purchase Fee,Fee Effective Date,Note Code,2,Rental Fee,Fee Effective Date,Note Code
E0666,,0,999,$98.84 ,4/1/2013,,,$9.88 ,4/1/2013,,
E0667,,0,999,$312.76 ,4/1/2013,,,$31.28 ,4/1/2015,,
E0668,,0,999,$399.35 ,4/1/2013,,,$39.94 ,4/1/2013,,
E0669,,0,999,$152.75 ,4/1/2013,,,$15.28 ,4/1/2013,,
E0670,,0,999,"$1,020.77 ",7/1/2013,,,$102.08 ,7/1/2013,,
E0671,,0,999,$364.48 ,4/1/2013,,,$36.45 ,4/1/2013,,
E0672,,0,999,$301.67 ,4/1/2013,,,$30.17 ,4/1/2013,,
E0673,,0,999,$235.33 ,4/1/2013,,,$23.53 ,4/1/2013,,
E0676,,0,999,$0.00 ,2/1/2011,5,,$0.00 ,2/1/2011,5,
E0700,,0,999,$33.96 ,4/1/2017,,,,,,
E0705,,0,999,$40.96 ,4/1/2017,,,,,,
E0710,,0,999,$31.80 ,4/1/2013,,,$3.18 ,4/1/2013,,
E0720,,0,999,$232.51 ,4/1/2019,,,$23.25 ,4/1/2019,,
E0730,,0,999,$237.38 ,4/1/2019,,,$23.74 ,4/1/2019,,
E0731,,0,999,$215.31 ,4/1/2019,,,$21.53 ,4/1/2019,,
E0736,,18,999,$85.32 ,3/1/2025,,,$8.53 ,3/1/2025,,
E0740,,0,999,$481.04 ,4/1/2013,,,,,,
E0745,,0,999,$823.49 ,4/1/2013,,,$82.35 ,4/1/2013,,
E0747,,0,999,"$3,602.78 ",4/1/2013,,,,,,
E0748,,0,999,"$3,579.44 ",4/1/2013,,,,,,
E0760,,0,999,"$2,974.45 ",4/1/2013,,,,,,
E0762,,0,999,$915.94 ,4/1/2013,,,$91.59 ,4/1/2015,,
E0764,,0,999,"$10,845.48 ",4/1/2013,,,"$1,084.55 ",4/1/2015,,
E0776,,0,999,$96.85 ,4/1/2017,,,$9.69 ,4/1/2017,,
E0779,,0,999,$153.74 ,4/1/2013,,,$15.37 ,4/1/2013,,
E0780,,0,999,$9.53 ,4/1/2013,,,$0.95 ,4/1/2013,,
E0781,,0,999,"$2,106.90 ",4/1/2013,,,$210.69 ,4/1/2013,,
E0782,,0,999,"$3,753.51 ",4/1/2013,,,,,,
E0783,,0,999,"$7,480.40 ",4/1/2013,,,,,,
E0784,,0,999,"$3,903.99 ",4/1/2017,,,$390.40 ,4/1/2017,,
E0784,U1,0,999,$827.10 ,4/1/2017,,,$82.71 ,4/1/2017,,
