HCPCS Code,Rate
A6581,$51.75
A6581RR,$3.98
A6581UE,$38.81
A6582,$34.52
A6582RR,$2.66
A6582UE,$25.89
A6583,$113.54
A6583RR,$8.73
A6583UE,$85.16
A6584,$134.43
A6584RR,$10.34
A6584UE,$100.82
A6585,$166.16
A6585RR,$30.47
A6585UE,$297.04
A6586,$396.05
A6586RR,$30.47
A6586UE,$297.04
A6587,$51.88
A6587RR,$3.99
A6587UE,$38.91
A6588,$172.91
A6588RR,$13.30
A6588UE,$129.68
A6589,$68.26
A6589RR,$5.25
A6589UE,$51.20
A6590,$301.93
A6590RR,$23.23
A6590UE,$226.45
A6591,$63.44
A6591RR,$4.88
A6591UE,$47.58
A6594,$24.86
A6594RR,$1.91
A6594UE,$18.65
A6595,$24.44
A6595RR,$1.88
A6595UE,$18.33
A6596,$0.08
A6596UE,$0.06
A6597,$1.10
A6597RR,$0.08
A6597UE,$0.83
A6598,$0.53
A6598RR,$0.04
A6598UE,$0.40
A6599,$1.21
A6599RR,$0.09
A6599UE,$0.91
A6600,$2.18
A6600RR,$0.17
A6600UE,$1.64
A6601,$2.45
A6601RR,$0.19
A6601UE,$1.84
A6602,$3.57
A6602RR,$0.27
A6602UE,$2.68
A6603,$1.67
A6603RR,$0.13
A6603UE,$1.25
A6604,$0.98
A6604RR,$0.08
A6604UE,$0.74
A6605,$1.12
A6605RR,$0.09
A6605UE,$0.84
A6606,$3.32
A6606RR,$0.26
A6606UE,$2.49
A6607,$0.89
A6607RR,$0.07
A6607UE,$0.67
A6608,$3.69
A6608RR,$0.28
A6608UE,$2.77
A6610,$160.51
A6610RR,$12.35
A6610UE,$120.38
A7000NU,$6.26
A7001NU,$22.13
A7002NU,$2.68
A7003NU,$0.99
A7004NU,$0.79
A7005NU,$7.36
A7006NU,$4.57
A7007NU,$2.01
A7008NU,$7.36
A7009NU,$28.12
A7010NU,$9.65
A7012NU,$1.76
A7013NU,$0.35
A7014NU,$2.04
A7015NU,$0.78
A7016NU,$4.85
A7017NU,$89.63
A7017RR,$6.89
A7017UE,$33.21
A7018,$0.26
A7020NU,$9.98
A7021,$104.29
A7021NU,$104.29
A7021RR,$8.02
A7021UE,$78.22
A7025RR,$28.00
A7026NU,$18.41
A7027NU,$117.41
A7028NU,$33.13
A7029NU,$13.54
A7030NU,$87.78
A7031NU,$33.28
A7032NU,$18.63
A7033NU,$15.28
A7034NU,$54.64
A7035NU,$18.21
A7036NU,$10.48
A7037NU,$11.79
A7038NU,$2.07
A7039NU,$5.98
A7040,$28.44
A7041,$53.44
A7044NU,$69.69
A7045NU,$11.22
A7045RR,$0.86
A7045UE,$6.28
A7046NU,$11.24
A7047NU,$80.52
A7048,$33.57
A7049,$55.98
A7049RR,$4.31
A7049UE,$41.99
A7501,$93.64
A7502,$44.60
A7503,$10.11
A7504,$0.62
A7505,$4.18
A7506,$0.31
A7507,$2.22
A7508,$2.56
A7509,$1.26
A7520,$42.33
A7521,$41.96
A7522,$40.26
A7523,$7.23
A7524,$69.12
A7525,$1.84
A7526,$3.01
A7527,$3.25
A8000NU,$102.55
A8000RR,$7.89
A8000UE,$76.31
A8001NU,$102.55
A8001RR,$7.89
A8001UE,$76.31
A8002NU,$153.35
A8002RR,$11.80
A8002UE,$25.00
A8003NU,$153.35
A8003RR,$11.80
A8003UE,$115.01
A8004NU,$26.70
A8004RR,$2.05
A8004UE,$20.02
A9273,$6.48
A9273NU,$6.48
A9273UE,$4.86
A9274,$26.00
A9275,$21.97
A9276,$10.17
A9277,$475.00
A9278,$442.00
A9281,$14.45
A9282,$350.00
A9283,$38.11
A9284,$9.00
A9285,$491.38
